timestamp,symbol,side,entry_price,exit_price,pnl_usdt,pnl_pct,exit_reason
2026-08-20T13:20:37.783826,BOME_USDT,LONG,0.0012239,0.0011857,-6.362813564000476,-3.1999215622191315,BE_SL
2026-08-20T12:32:18.202069,FORM_USDT,LONG,0.2492,0.2375,-9.582534864134061,-4.773146067415744,SL
2026-08-20T11:14:52.002609,EDGE_USDT,LONG,0.3532,0.3582,2.6739970544218585,1.335062287655726,TRAIL_SL
2026-08-20T10:59:27.670599,BOME_USDT,LONG,0.0011235,0.0011221,-0.32777187507148653,-0.20456074766355606,BE_SL
2026-08-20T10:34:28.597776,BOME_USDT,LONG,0.0010027,0.0010803,10.571460171309358,6.612963510521597,TRAIL_SL
2026-08-20T10:22:37.840538,RED_USDT,LONG,0.1186,0.1138,-8.243959336781419,-4.12559865092748,SL
2026-08-20T08:45:28.193524,RED_USDT,LONG,0.1115,0.1111,-0.8772017937219538,-0.4386008968609769,BE_SL
2026-08-19T20:46:44.009306,TREE_USDT,LONG,0.04485,0.04575,6.942363559811783,4.32091451505018,TRAIL_SL
2026-08-19T20:00:50.251065,MUBARAK_USDT,LONG,0.02341,0.02386,5.129441325212022,4.287154617684753,TRAIL_SL
2026-08-19T19:55:43.580957,RE_USDT,LONG,0.4961,0.4967,0.038572829243862045,0.04089498085063325,BE_SL
2026-08-19T19:29:39.388718,TREE_USDT,LONG,0.04598,0.04373,-6.916520830195489,-4.9714745541539775,SL
2026-08-19T19:04:49.001507,MUBARAK_USDT,LONG,0.0234,0.02338,-0.3310927208322401,-0.1654358974358954,BE_SL
2026-08-19T18:57:41.858656,BIO_USDT,LONG,0.02946,0.02827,-6.592814620639303,-4.117759674134422,SL
2026-08-19T18:13:00.158519,TREE_USDT,LONG,0.04069,0.04135,4.911662641240001,4.167108537724267,TRAIL_SL
2026-08-19T18:12:45.546079,AXTI_USDT,SHORT,73.44,76.49,-6.80302322692273,-4.234711328976034,SL
2026-08-19T17:41:19.571366,TREE_USDT,LONG,0.04034,0.04015,-0.9284846095195713,-0.5508081308874653,BE_SL
2026-08-19T17:15:55.803040,INTW_USDT,SHORT,19.68,19.72,-0.5689653608850946,-0.2833333333333232,BE_SL
2026-08-19T16:27:13.915572,MVLL_USDT,LONG,31.42,31.79,3.9896758063563444,3.989409140674739,TRAIL_SL
2026-08-19T15:46:54.015475,MVLL_USDT,LONG,31.82,31.83,-0.048591403589262956,-0.04858579509741893,BE_SL
2026-08-19T14:58:45.431879,PORTAL_USDT,SHORT,0.01036,0.01078,-5.824336903074238,-4.13567567567567,SL
2026-08-19T14:21:54.056492,ON_USDT,SHORT,0.2549,0.2666,-9.487894789539792,-4.671871322087086,SL
2026-08-19T12:39:18.408740,ON_USDT,SHORT,0.22,0.2332,-12.504590317722494,-6.082399999999986,SL
2026-08-19T12:38:47.195029,ON_USDT,SHORT,0.2155,0.2142,7.678097797601587,3.762835823665897,TRAIL_SL
2026-08-19T12:35:52.365609,ON_USDT,SHORT,0.2451,0.2106,18.343082369603625,9.154047099143217,TP2
2026-08-19T09:15:12.781582,HEMI_USDT,LONG,0.008083,0.008182,1.830884572559709,1.144302857849818,TRAIL_SL
2026-08-19T09:08:48.245698,DOS_USDT,SHORT,0.2499,0.2496,0.08019207683076798,0.04009603841538399,BE_SL
2026-08-18T20:01:40.955267,ALPINE_USDT,LONG,0.3928,0.4119,5.831029534608094,5.462792179226077,TRAIL_SL
2026-08-18T19:05:11.328566,OPN_USDT,LONG,0.06149,0.05899,-5.889460662360531,-4.144075459424296,SL
2026-08-18T18:46:32.623490,1000RATS_USDT,LONG,0.05391,0.05162,-3.1967571462721205,-4.326121313299948,SL
2026-08-18T18:27:55.058408,ON_USDT,SHORT,0.2873,0.2705,5.326983225402202,5.861394054994782,TRAIL_SL
2026-08-18T18:10:52.617750,1000RATS_USDT,LONG,0.05303,0.05207,-1.9589461515189608,-1.8895719404110918,TRAIL_SL
2026-08-18T17:19:33.194084,1000RATS_USDT,LONG,0.05244,0.04976,-9.70617274045489,-5.188558352402746,SL
2026-08-18T17:19:11.736454,1000RATS_USDT,LONG,0.05185,0.05181,-0.2940050366613053,-0.15711475409835907,BE_SL
2026-08-18T15:58:27.214759,RED_USDT,SHORT,0.0982,0.0964,2.7112453463199424,1.7537270875763642,VOL_DECAY
2026-08-18T15:36:07.428617,ON_USDT,SHORT,0.2889,0.2891,-0.19382835321186048,-0.14925579785395598,BE_SL
2026-08-18T12:56:53.956107,HANA_USDT,SHORT,0.02839,0.02954,-8.052251679842652,-4.13234237407539,SL
2026-08-18T12:19:26.324071,CYS_USDT,SHORT,0.5043,0.5001,0.7332591795298325,0.7531707317073133,TRAIL_SL
2026-08-18T11:53:37.987910,CYS_USDT,SHORT,0.5043,0.5041,-0.039260710252123625,-0.04032520325203385,BE_SL
2026-08-18T10:46:54.021097,EDEN_USDT,LONG,0.0579,0.05557,-4.010725781661528,-4.102569948186532,SL
2026-08-18T08:30:55.887655,XPIN_USDT,SHORT,0.001346,0.001402,-5.840727399987372,-4.242139673105492,SL
2026-08-18T08:18:05.525983,RED_USDT,LONG,0.1069,0.1026,-8.132678310278818,-4.100841908325529,SL
2026-08-18T08:15:44.836645,RED_USDT,LONG,0.109,0.1045,-8.41357798165139,-4.206788990825695,SL
2026-08-17T20:44:18.661845,CYS_USDT,SHORT,0.4594,0.459,0.014762910870401325,0.007104919460153383,BE_SL
2026-08-17T19:34:49.707185,MVLL_USDT,LONG,31.21,31.69,2.004087162680608,1.457353412367834,VOL_DECAY
2026-08-17T18:31:50.011150,BEAT_USDT,SHORT,0.28,0.276,1.8377560613672626,1.3491428571428654,TRAIL_SL
2026-08-17T18:29:32.215904,SNXX_USDT,LONG,18.24,19.27,11.8220127250813,5.776428421052633,TRAIL_SL
2026-08-17T17:15:38.984439,AXTI_USDT,LONG,91.3,91.4,0.038620356497719055,0.029485213581603092,BE_SL
2026-08-17T17:06:42.220551,MVLL_USDT,LONG,31.18,31.19,-0.07849265001314065,-0.04794098781268704,BE_SL
2026-08-17T15:35:29.991283,CYS_USDT,SHORT,0.5399,0.5243,9.546469292148991,4.677671894795333,TRAIL_SL
2026-08-17T15:24:32.296837,AIO_USDT,LONG,0.07702,0.07393,-6.678246395863565,-4.090340171384076,SL
2026-08-17T12:45:44.631049,CYS_USDT,SHORT,0.5578,0.527,5.23615959553562,5.73100041591968,TRAIL_SL
2026-08-17T12:36:13.821475,AIO_USDT,LONG,0.07169,0.07176,0.017871163301638182,0.01760357093040305,BE_SL
2026-08-17T11:53:08.392734,CYS_USDT,SHORT,0.5762,0.5759,-0.02550441513039249,-0.0279139187781888,BE_SL
2026-08-17T11:34:07.559784,CYS_USDT,SHORT,0.5881,0.5877,-0.01958322455959742,-0.01195715014454545,BE_SL
2026-08-17T10:24:15.084737,XPIN_USDT,SHORT,0.00135,0.001411,-7.906569303662669,-4.600325925925914,SL
2026-08-17T10:15:21.249031,CHIP_USDT,LONG,0.0316,0.03155,-0.48757751060481774,-0.238164556962027,BE_SL
2026-08-17T09:53:15.772549,CHIP_USDT,LONG,0.03155,0.03158,0.02156585947945444,0.015049128367645666,BE_SL
2026-08-17T08:25:52.725050,XPIN_USDT,SHORT,0.001209,0.001242,-5.786390398895167,-2.8106203473945395,SL
2026-08-17T08:13:06.098859,XPIN_USDT,SHORT,0.001061,0.001115,-10.75830003079775,-5.171573986804892,SL
2026-08-17T08:12:41.669714,XPIN_USDT,SHORT,0.001216,0.001038,19.151750292507128,9.379045263157899,TP2
2026-08-17T08:11:23.845748,XPIN_USDT,SHORT,0.001412,0.001166,20.986132124645906,10.493066062322953,TP2
2026-08-16T20:17:23.893239,AIO_USDT,LONG,0.075,0.07176,-2.8701447168125696,-4.398271999999987,SL
2026-08-16T20:05:14.547419,PORTAL_USDT,LONG,0.01436,0.01437,-0.013654612332936578,-0.01038997214482908,BE_SL
2026-08-16T20:03:34.905528,DOLO_USDT,SHORT,0.02437,0.02535,-3.1633109432308633,-4.102946245383673,SL
2026-08-16T19:56:44.292418,BICO_USDT,SHORT,0.02304,0.02302,0.004851852867359677,0.0068402777777910855,BE_SL
2026-08-16T18:52:21.614661,AIO_USDT,LONG,0.07191,0.06891,-6.79496535537324,-4.250212765957462,SL
2026-08-16T18:38:02.503951,DOLO_USDT,LONG,0.02777,0.02662,-7.540211478844072,-4.21950306085703,SL
2026-08-16T18:16:58.962935,CYS_USDT,SHORT,0.7612,0.7929,-3.750268927400759,-4.246142932212306,SL
2026-08-16T18:11:17.221574,APR_USDT,SHORT,0.181,0.18,0.4638926526751226,0.4727071823204425,TRAIL_SL
2026-08-16T17:17:09.314466,AIO_USDT,LONG,0.06542,0.06543,-0.0635650552337088,-0.06472026903089449,TRAIL_SL
2026-08-16T16:31:03.787681,DOLO_USDT,LONG,0.02531,0.02512,-0.7340122975451472,-0.8303911497431717,BE_SL
2026-08-16T16:15:16.429426,PORTAL_USDT,LONG,0.01565,0.01484,-7.277349891246559,-5.253648562300325,SL
2026-08-16T16:02:58.495194,PORTAL_USDT,LONG,0.01595,0.01595,-0.15833381570915,-0.08,BE_SL
2026-08-16T15:58:45.797841,PORTAL_USDT,LONG,0.01575,0.01576,-0.03272340396712316,-0.016533333333337192,BE_SL
2026-08-16T15:51:09.605015,PORTAL_USDT,LONG,0.01387,0.01584,12.58098693290778,9.197614073540002,TP2
2026-08-16T14:49:49.081813,CYS_USDT,SHORT,0.6498,0.6768,-8.349756204068951,-4.236786703601102,SL
2026-08-16T14:44:37.488531,CYS_USDT,SHORT,0.6526,0.6527,-0.1878941630392813,-0.0953294514250565,BE_SL
2026-08-16T14:35:14.397191,CHIP_USDT,LONG,0.03108,0.03112,0.07670911336789052,0.04864864864864567,BE_SL
2026-08-16T13:50:39.345480,HEMI_USDT,LONG,0.008538,0.008187,-8.3270472737413,-4.189388615600858,SL
2026-08-16T13:09:42.044305,HEMI_USDT,LONG,0.008499,0.008511,0.09722068753836184,0.061136604306393165,BE_SL
2026-08-16T13:05:20.566262,BEAT_USDT,SHORT,0.409,0.409,-0.159022059928499,-0.08,BE_SL
2026-08-16T12:44:52.064904,DOLO_USDT,LONG,0.02586,0.02477,-8.608067475866724,-4.293317865429243,SL
2026-08-16T12:44:20.542099,DOLO_USDT,LONG,0.02484,0.02517,2.495942028985517,1.2479710144927585,TRAIL_SL
2026-08-16T11:24:12.633819,CYS_USDT,SHORT,0.6815,0.7099,-5.926629406815445,-4.248944974321354,SL
2026-08-16T11:15:29.585335,BEAT_USDT,SHORT,0.431,0.431,-0.15943662936403,-0.08000000000000002,BE_SL
2026-08-16T10:54:51.426560,DOLO_USDT,SHORT,0.02361,0.02461,-8.678910021456801,-4.317187632359184,SL
2026-08-16T10:23:56.900758,PIXEL_USDT,LONG,0.005668,0.00607,12.614049977813828,6.354404742413553,TRAIL_SL
2026-08-16T10:16:57.044796,PIXEL_USDT,LONG,0.005618,0.005626,0.06187377493567455,0.06234247063011853,BE_SL
2026-08-16T10:06:57.142219,AIO_USDT,LONG,0.06602,0.066,-0.17645077249314892,-0.11028173280821807,BE_SL
2026-08-16T09:56:53.392654,BEAT_USDT,SHORT,0.366,0.381,-7.01970874302673,-4.180000000000014,SL
2026-08-16T09:52:11.990373,BEAT_USDT,SHORT,0.3707,0.371,-0.3219206905853784,-0.1609603452926892,BE_SL
2026-08-15T21:09:53.338404,HEMI_USDT,LONG,0.007042,0.007173,6.827420333432845,4.262369145129218,TRAIL_SL
2026-08-15T20:51:06.496909,HEMI_USDT,LONG,0.006954,0.006962,0.05605181712845178,0.034995685936145805,BE_SL
2026-08-15T20:31:25.427692,BOME_USDT,LONG,0.0009262,0.0009271,0.027830774940968528,0.01713236881883254,BE_SL
2026-08-15T20:20:51.314686,WAL_USDT,LONG,0.02501,0.02444,-4.559595709443032,-2.358176729308285,SL
2026-08-15T19:28:55.901447,TAG_USDT,SHORT,0.00103,0.000949,6.003680898342891,6.668329320388357,VOL_DECAY
